gene	log2FC	FDR
PKN3	-1.36	5.7379987786855e-4
IQGAP3	-0.68	5.4397160515685e-4
TSPAN33	-1.28	6.3374615542771e-4
PLIN3	1.12	5.5194550886196e-4
R3HCC1	-1.45	5.7379987786855e-4
PARD6B	0.91	6.2222442057713e-4
RNF214	-1	6.3002964069689e-4
ALG9	-0.8	6.06771366263e-4
CPNE5	2.29	6.8202989972544e-4
CDCA7	-0.74	5.7379987786855e-4
SLC9A6	0.68	5.9355798081082e-4
FOSL2	-0.83	5.9355798081082e-4
ARHGEF12	0.76	5.8526470396692e-4
MYO1C	1.01	6.5875542342482e-4
LIG1	-0.75	5.8356151059062e-4
MYH11	-2.85	0.00065843896232484005
FGFBP2	5.1	7.1396047847342e-4
GCNT2	-1.07	6.8202989972544e-4
MCM5	-0.82	5.8656933531541e-4
BLCAP	0.91	6.160107315607e-4
CREM	0.96	6.6058735157105e-4
RABIF	0.99	6.5862165057662e-4
SLITRK4	-1.38	6.6587456329484e-4
FMOD	1.97	7.5802892891529e-4
ANKRD31	1.76	7.8746072796333e-4
CEP19	1.29	7.4956056788274e-4
DYRK4	-2.15	7.8746072796333e-4
JAK2	1.32	6.6484397799835e-4
C12orf49	1.34	6.5416954272764e-4
TRIM14	-1.87	7.9627842797999e-4
ZDHHC18	-1.09	7.0530675396744e-4
GREM1	1.47	6.5416954272764e-4
IMPAD1	1.01	6.5416954272764e-4
RCCD1	-0.62	0.00065843896232484005
GALNT7	0.7	6.5390793902171e-4
ATP2A3	0.97	6.5875542342482e-4
C21orf90	2.79	7.4956056788274e-4
RRBP1	1.53	6.6798569202192e-4
C14orf37	1.81	7.9627842797999e-4
MFAP3L	0.93	7.5802892891529e-4
FAHD2A	-0.91	7.5171119272288e-4
CORO2B	1.4	7.5802892891529e-4
GNAZ	1.32	6.7153409297607e-4
MARCH2	1.07	7.9627842797999e-4
C5orf56	1.49	7.7628827968348e-4
EVI5	0.91	7.184815219899e-4
LIFR	2.01	8.276018428337e-4
NEXN	-1.42	7.5802892891529e-4
SPTA1	2.25	8.1760135942553e-4
C5orf22	0.96	7.4956056788274e-4
ALDH7A1	-0.97	7.5802892891529e-4
CDKN2AIPNL	-1.19	7.7628827968348e-4
TLR10	-4.11	9.2198231672818e-4
CMTM4	1.07	7.9627842797999e-4
DTWD2	2.09	9.3169080154816e-4
LYL1	-1.13	7.5171119272288e-4
WSB2	1.08	7.7628827968348e-4
E2F1	-0.87	7.5802892891529e-4
ESYT1	-0.73	7.5171119272288e-4
CPEB2	1.09	7.5802892891529e-4
ALKBH2	-1.7	9.1696827125043e-4
SPTLC3	1.78	9.1286102453342e-4
RABGGTA	1.06	8.0548178731636e-4
C1QL4	-2.43	9.8397726278059e-4
CHCHD7	0.65	7.5802892891529e-4
SPECC1	-0.66	7.7628827968348e-4
PWWP2B	-1.23	8.5208301251793e-4
IL2RB	2.36	0.00101910083604202
CRTC3	0.82	7.8746072796333e-4
SIGIRR	0.66	7.8746072796333e-4
SLC46A3	1.22	7.9627842797999e-4
RPL36	-1.18	7.7628827968348e-4
EFCAB4B	-0.81	7.9627842797999e-4
MED12L	0.96	7.7628827968348e-4
TIGD3	1.31	9.9227991066846e-4
MIPEP	-1.88	9.4975889306618e-4
FAM49B	1.32	7.885955399615e-4
DGAT1	0.81	7.9627842797999e-4
RTN1	1.41	0.00105937976099433
FAT4	2.4	0.00105937976099433
CSPP1	-0.83	8.1388369702185e-4
CLINT1	0.66	7.8746072796333e-4
IKZF3	-1.82	0.0010654307046063
ZBTB5	0.76	8.0548178731636e-4
AAAS	-1.87	8.7393992777927e-4
STX10	-1.19	8.5208301251793e-4
SAP30	-0.98	8.5208301251793e-4
ARHGAP20	2.5	0.00113757190970816
SPEF2	-3.88	0.00111945744610922
ASAP3	1.8	0.00105937976099433
ATP6V1G2	2.37	0.00114807779916399
PTPRJ	0.76	8.8460217539315e-4
TMEM9B	0.9	9.2195193529385e-4
ALG5	-1.34	9.1470076434906e-4
SRD5A3	1.32	9.8677900621451e-4
SH3YL1	-0.71	9.2226652852832e-4
PCDH9	1.62	9.2226652852832e-4
CLN5	0.75	9.2198231672818e-4
CCDC153	2.17	0.00118549634672121
ANKRD29	2.38	0.00119071385383417
CLEC17A	2.3	0.00116677759994442
SVIL	-1.7	0.00105937976099433
IMMP2L	-1.21	0.00107075104149025
SGK1	1.02	9.8677900621451e-4
CMTM3	0.93	9.1696827125043e-4
RBM45	-2.25	0.00110030971608227
RNF11	0.63	9.2198231672818e-4
DUT	-0.68	9.2198231672818e-4
ELMO2	0.85	9.7316111677277e-4
SLC37A4	-1.19	9.8677900621451e-4
METTL21B	-0.7	0.00105937976099433
ANKRD20A4	1.87	0.00129201460116928
KIRREL	0.79	0.00101773073022939
ARVCF	1.48	0.00120327971886135
ABCA10	2.67	0.00130124184115196
PROX1	2.38	0.0012766429002735
BLNK	-2.21	0.00131403252534453
GLIPR2	1.55	0.00130124184115196
EPHB4	-0.64	0.00101988935177931
TMEM237	-0.85	0.00106121960466307
TSPAN7	2.2	0.00131403252534453
SLC8B1	0.93	0.00112982945895719
AXIN2	0.95	0.00113757190970816
CSNK2A2	-0.88	0.00101910083604202
FNTB	-0.67	0.00106780702255464
LRP12	0.63	0.00105937976099433
MZT2B	-1.12	0.00101825128418438
HSD11B1	5.37	0.001301554648491
ETS2	0.58	0.00102729625321757
FAM171A2	-3.32	0.00138773452150077
IDUA	1.11	0.00120327971886135
C9orf16	0.62	0.00105937976099433
PYGL	-1.57	0.00117875543604528
LY9	1.49	0.00107075104149025
TADA2B	0.88	0.00114807779916399
GOT2	-1.9	0.00107075104149025
MYOM1	2.04	0.00131403252534453
POLD1	-0.71	0.00105937976099433
RP9	-3.18	0.00143663315516612
PLA2G4A	-1.03	0.00119510999636752
EVI5L	0.97	0.00122010193765507
ERAP2	-0.71	0.00107075104149025
ATP7B	1.48	0.00137357247361096
ANKRD13D	0.65	0.00109449177195496
ZSWIM8	1.07	0.00113757190970816
KNTC1	-0.64	0.00107764596995232
KCNS3	1.22	0.00114408786789413
ENO3	-0.85	0.001301554648491
TUBA4A	0.64	0.00111666578597281
SULT4A1	3.51	0.00143729066030809
VRTN	2.41	0.00142787427505969
RLTPR	1.06	0.00120948407859686
GNAQ	0.9	0.00112982945895719
DNAJB2	2.17	0.00129201460116928
ACVR1	1.24	0.00134141211904955
BCAS4	-1	0.00119510999636752
MREG	-1.87	0.00155864668588049
SLC7A7	1.18	0.00120327971886135
C9orf156	0.83	0.00129201460116928
NDRG4	4.74	0.00161078142969666
MMS19	-0.66	0.00119510999636752
ACBD6	-0.87	0.0012766429002735
KIAA1191	0.66	0.00122010193765507
RBFA	-0.67	0.00124026541284646
CCDC112	-1.33	0.00140373410480256
PIGC	-0.85	0.00130124184115196
PLXNC1	1.1	0.00120948407859686
STYK1	1.89	0.00169995154494655
EPC1	0.56	0.0012294344255262
ECSIT	-0.76	0.001301554648491
MRPL45	-0.64	0.00129201460116928
PEX3	-0.72	0.00134141211904955
FXN	-1.78	0.00148203304390716
RRAGD	0.64	0.0012766429002735
DLX3	3.03	0.00174237804229041
CD79A	0.77	0.00126634501393694
THRA	-0.99	0.00140373410480256
NBAS	-0.66	0.00127640914542777
CCDC7	1.49	0.00156861139670049
PAIP1	-0.71	0.00129201460116928
ATAD2B	0.7	0.00129201460116928
DSG2	-1	0.00130465878057128
PLCG1	1.34	0.00134141211904955
PM20D2	-0.74	0.00129201460116928
MAPKAPK2	0.56	0.00130124184115196
TMEM30A	0.52	0.00129201460116928
LTBR	0.93	0.00155864668588049
C11orf45	-3.26	0.00188169986520316
SPATA6	1.27	0.00171726470643419
SCAMP1	-0.77	0.00132935391606616
DUS4L	-0.73	0.00156861139670049
TACC1	1.24	0.00134141211904955
UNC119	0.76	0.00141774486356374
GIMAP8	1.3	0.00171726470643419
PTPRF	-2.48	0.0019730863897343
LIN7C	0.63	0.00134141211904955
CD109	-0.88	0.00134656093094549
NTN1	0.82	0.00146110743892048
KIAA1244	2.61	0.00199388062090904
JAK3	0.98	0.00138773452150077
RUSC2	-0.76	0.00156861139670049
UBE2E3	0.79	0.00140977486797987
DKK2	2.29	0.00199394143905972
RC3H2	0.51	0.00140534408606943
LRP6	0.59	0.00140373410480256
FBN1	0.76	0.00165711245168307
SEPT10	1.3	0.00176751903875442
ZFYVE9	0.91	0.00153403137087293
DGKQ	0.6	0.00152022250814996
ARL8A	0.73	0.00157087878501884
C21orf91	0.57	0.00142787427505969
ANGPTL2	-0.99	0.00173002841056963
RPLP1	-0.84	0.00153183381693921
CCDC34	-0.78	0.00159982138051248
TSPAN17	1.04	0.00154627468399547
FXYD1	4.13	0.0021012835544652
LTA	3.21	0.00215317927444021
DEXI	0.73	0.00163683245001653
PPP1R13B	1.49	0.0021386368901205
DAD1	0.74	0.0014882348146044
STAT3	0.94	0.00148203304390716
TRPS1	1.53	0.0018305856468914
FUT7	-1.43	0.00156861139670049
ZNF212	-0.78	0.0017295055737766
CENPH	-0.78	0.00155864668588049
UST	-1.26	0.00182498608277149
CD96	0.89	0.00153403137087293
BTN3A1	-0.73	0.00159982138051248
C6orf47	0.73	0.00161954402508111
GDPD5	0.9	0.00178396727356018
MCM2	-0.67	0.00155864668588049
RFC4	-0.66	0.00155648214706389
GCAT	-1.47	0.00199388062090904
NR2C1	-0.93	0.00159982138051248
CEP135	-0.83	0.00160394018750275
ABCA1	2.29	0.0020979794720568
TOP1MT	-0.67	0.00156861139670049
NPR1	-1.83	0.00221446948278061
CEP78	0.73	0.00156861139670049
TAF9B	1	0.00159982138051248
CDKN2A	-0.71	0.00156861139670049
POLR2J3	0.53	0.00156861139670049
RHBDF1	2.47	0.00234156868489085
TSPAN13	0.62	0.00162720522593232
TFE3	0.73	0.00173856245185175
TOX	1.51	0.00228192076800492
TKT	-0.74	0.00165085967508523
ATP6AP2	0.65	0.00164442804111147
NLE1	-1.64	0.00177551437577308
ZCCHC4	-0.86	0.00189969029929606
SERPINI1	1.33	0.00217219534276155
TSPAN9	3.26	0.00249371821653245
FSTL1	1.32	0.0021178878177673
IFT46	-1.13	0.0021178878177673
RNF144A	-1.64	0.00207855674184617
NAMPT	-0.57	0.00169151184085914
TMBIM4	0.82	0.00178401979396495
WDHD1	-0.53	0.00166838063772215
DNAJC12	-1.05	0.00207855674184617
C1QTNF6	1	0.00215317927444021
SERTAD1	0.83	0.00206530288238005
PRDM4	0.68	0.00180583699339187
MOB1B	0.78	0.0016982163296069
GBA2	0.52	0.00174237804229041
PDCL	0.71	0.00171726470643419
EXPH5	-0.85	0.00217313203676504
ZNF678	0.58	0.00173856245185175
FANCF	-0.54	0.00179797118482486
BCAT1	0.74	0.00191383537641259
SLFN12	0.75	0.00209742800349916
NUP210	-0.67	0.0017295055737766
PCDH8	-2.22	0.00260105682301786
DTNB	0.64	0.00180415015121235
NMB	-1.65	0.00244429229871965
SCIMP	-1.5	0.00230456608068391
ADAT2	-0.84	0.00190570233471406
ADD2	-1.57	0.00197878876956149
TOR1AIP1	0.68	0.00178481822902975
ACYP1	-0.78	0.00216586463319515
ZDHHC14	1.79	0.00252553224036106
PLEKHA3	0.71	0.00187961912384743
GRID1	2.99	0.00275587739779483
ERLIN2	-0.51	0.00188169986520316
RAP2B	0.54	0.00182828754420615
FECH	-0.81	0.00215317927444021
NBPF12	0.75	0.00205761052899032
CYSLTR2	1.87	0.00282828387111844
SORT1	0.48	0.00187961912384743
FOXA1	0.88	0.00215317927444021
NID2	2	0.00267650885456366
LRRC4	4.19	0.00282828387111844
CD52	-2.94	0.00260769266257403
SPATA6L	2.68	0.00285685894092071
ARNTL	0.56	0.00198199616729381
TLR6	-2.42	0.00229932898874175
RGL4	3.07	0.00282828387111844
C1orf115	-4.23	0.00286396806604672
DISP1	0.89	0.00230556685197551
SPRYD7	-0.8	0.00215317927444021
DNM1	-0.73	0.00204270456166365
COMTD1	-1.95	0.00262349207580386
PTGS2	2.35	0.00291679527384843
CCDC169	-0.96	0.00267851138985295
DACT3	1.81	0.00286489621207119
ABCA12	1.42	0.00286489621207119
RSL1D1	-0.6	0.00196544293518141
TP53I3	-1.89	0.00291679527384843
SYNC	1.78	0.00294360475608256
RAB21	0.52	0.00198951507443974
SYTL2	1.51	0.00260105682301786
C5orf42	0.76	0.0021386368901205
CEP152	-0.54	0.00202889717267727
PRPF40B	1.05	0.00249384394464868
DAG1	0.69	0.00214162314736231
ATP6V1D	0.56	0.00215317927444021
CD84	2.33	0.00306703159999165
OSBPL1A	-0.64	0.00228192076800492
ZSCAN2	0.59	0.00216229269104078
MAGI2	1.09	0.00291679527384843
HMGA1	-0.74	0.00207649010508479
CASP7	-0.56	0.00216229269104078
TARS2	-0.57	0.00215317927444021
TSGA10	0.98	0.00249371821653245
ITGB4	-2.81	0.00310021232742259
HOXD12	2.26	0.00309938848275729
ATP2B4	1.33	0.0021178878177673
C3orf33	-2.12	0.00315956951292203
PARP16	-0.6	0.00223637658638542
FAM26F	-1.1	0.00267650885456366
MTMR9	0.66	0.0021386368901205
SPRED2	0.91	0.00237399897157012
SH3RF3	-2.62	0.00305520358786386
FANCE	-0.62	0.00229430569354027
SLC15A4	0.51	0.00218384651299791
EXTL3	0.77	0.00215317927444021
NLRP11	-2.8	0.00320664732715211
TLN2	-0.78	0.00248357944097108
MTHFD1	-0.93	0.00215317927444021
HIPK1	0.52	0.00215317927444021
PLXNA2	1.94	0.00325021931660454
C4orf21	-0.51	0.00216246372864848
CCR7	1.65	0.00301115803003779
RNF150	-2.27	0.00329660557151339
SLC38A5	-1.66	0.00229690951283499
PLS1	-1.2	0.00286396806604672
RPS6KA2	1.22	0.00291679527384843
TBC1D9B	-0.77	0.0021981486118134402
KIAA0232	0.87	0.0021981486118134402
DHX30	-1.01	0.0021981486118134402
GPC1	0.77	0.00276211606785794
PAICS	-0.82	0.00224486734111568
CADM4	0.94	0.00301115803003779
DBNDD1	2.53	0.00338179595246351
FCRL5	2.85	0.00335535429378463
PHEX	2.12	0.00343561585465793
SBK1	1.09	0.00310701550603119
TMEM97	-1.21	0.00227169680783098
KRTCAP2	-0.76	0.00234261558436544
ZBTB7C	2.66	0.00343561585465793
ZFYVE16	0.67	0.00226421947693448
ZNF763	0.9	0.00282828387111844
CAMK4	-0.85	0.00289108151402661
C1R	-2.92	0.00351487052982492
ZNF45	0.55	0.00244854174717042
MRE11A	-0.49	0.00233688423276961
F12	1.27	0.00338179595246351
HELLS	-0.63	0.00230456608068391
ARID4B	0.47	0.00232885002801887
CHRNA9	1.6	0.0036258118099137
COL11A2	1.09	0.00317163416404889
SLC9C2	-1.85	0.00364041298790752
CAPSL	-2.34	0.00364861388711133
STK38L	0.6	0.00239901395537733
ZCCHC2	0.72	0.00243153742026882
C18orf8	0.59	0.00252254224828493
DDIT4	-1.11	0.00242036648338972
DECR2	0.93	0.00290581190016426
CAMSAP2	0.78	0.00252550271379083
PINLYP	-0.81	0.0030454969903779
TRIB1	0.64	0.00274540523736021
PECR	-0.95	0.00310021232742259
ATP5G2	-0.56	0.00247865606901509
CDK2AP1	1.24	0.00294094592941594
SLC9A7	-1.16	0.0031205249996462
ICK	0.71	0.00259843657767263
YDJC	-0.92	0.00275587739779483
BCR	0.79	0.00250499612103331
DOK6	2.07	0.00376634404061448
RABL5	0.57	0.00278672114581109
MCM3	-0.59	0.00257166997336923
HNF4G	-0.8	0.0030744401568855
BTAF1	-0.45	0.00256156325227875
LHFPL2	1.11	0.00387116271788908
MKS1	-0.69	0.00308751823856132
CTD-2267D19.3	-1.97	0.00382231777264314
PEX1	0.79	0.00262290211383241
ITPKB	0.72	0.00275587739779483
MCOLN2	-0.85	0.00286396806604672
DIXDC1	-1.68	0.0038932367274875
WDR81	0.65	0.00276730589278791
PARP3	-0.92	0.00343561585465793
DCUN1D3	0.58	0.0029702392464929
BOLA3	-2.69	0.0036258118099137
KIF3A	0.57	0.00288344866222977
MCM6	-0.71	0.00267650885456366
RAB43	0.89	0.00277972785711124
C8G	3.98	0.0041671027707072
SPRED1	0.52	0.00274951591864101
CDYL2	0.67	0.00291679527384843
ATP6V1H	0.62	0.00278672114581109
FANCD2	-0.48	0.00275587739779483
IPP	0.92	0.00356748581063803
TTC18	0.93	0.00317163416404889
NPHP1	-1.27	0.00418628803485106
C10orf118	0.72	0.00282828387111844
ARHGAP19-SLIT1	1.38	0.00364041298790752
TSPYL1	0.58	0.00276730589278791
PMPCB	-0.58	0.00278672114581109
CX3CR1	2.85	0.00414588564532363
SLFN5	1.06	0.00282828387111844
CNR2	2.13	0.00364601858326411
NUDCD2	-0.68	0.00286489621207119
P2RX5	-1.02	0.0036258118099137
SLA2	1.54	0.00412646269110464
CTSO	0.95	0.00317817216856382
TTC7A	-0.73	0.00286396806604672
CTR9	0.55	0.00282828387111844
GRIP1	0.61	0.00287911056084183
FANCG	-0.56	0.00291462357528393
RNF38	0.64	0.00289108151402661
TEX261	-1.24	0.00291679527384843
PRF1	2.09	0.00417692181370966
ORC1	-0.64	0.00286489621207119
MRPS2	-2.66	0.00320664732715211
C12orf5	1.38	0.00320664732715211
FAM27E2	-2.21	0.00447911872373332
WDR27	-0.81	0.00308751823856132
ACADSB	0.89	0.00301794612944709
WWC2	1	0.00308751823856132
SLC11A2	-0.7	0.00304478571985276
TRAF3IP2	-0.56	0.00291679527384843
CNNM1	-1.25	0.00380578115435357
USP45	-0.68	0.00310173484461081
TNRC6C	0.96	0.00312000099785683
RPL8	-0.61	0.00307172066715435
C17orf49	0.58	0.00298452291934519
ARHGAP22	2.74	0.0046425727104702
EXT1	0.84	0.00349320749400367
SMIM12	-1.07	0.00318911900622122
CD59	0.88	0.00301115803003779
HOMER3	-4.24	0.00469594653766
ECI1	-0.78	0.00310701550603119
POLA1	-0.49	0.00295934106877444
TRAPPC2	0.81	0.00299820678987863
POLR1E	1.01	0.00301115803003779
RAPGEF2	0.51	0.00302843532792983
LCN6	-0.81	0.00317163416404889
TMEM33	0.82	0.00301115803003779
RPL36A	-1.28	0.00306703159999165
GYPC	-1.3	0.00310007459149965
LPXN	0.79	0.00308751823856132
IPO5	-0.63	0.00310007459149965
DFNA5	1.38	0.00310701550603119
ZNF582	1.12	0.00412646269110464
C2orf68	-0.54	0.00317817216856382
HIPK3	0.81	0.0031205249996462
XYLB	-2.25	0.00482101633143912
NKX3-1	1.02	0.00434701686302686
ATP6V0E1	0.59	0.00318835794655641
SHMT1	-0.56	0.00318835794655641
ZNF319	0.89	0.00373924246195227
BBC3	-1.7	0.00399903408409284
SAMD9L	-1.29	0.00356748581063803
EPC2	0.48	0.00319819938832762
CHTF18	-0.54	0.00320664732715211
TCTN1	1.17	0.00371078139030457
DDN	-2.83	0.0040791273817912
PCNA	-0.58	0.00317163416404889
RHBDD2	0.75	0.00344491526687949
HSPA2	1.02	0.00421625309965671
ABCA7	1.11	0.00332025652272168
ASXL2	0.71	0.00320584506285594
RUNDC3B	-1.48	0.00519917623575376
NPR2	-0.88	0.00436300851254648
RINT1	-0.79	0.00355166488438718
PPP3R1	0.55	0.00320664732715211
RNF14	0.71	0.00335535429378463
C17orf67	0.65	0.00408051800617777
NUTM2B	1.48	0.00497841763395538
GRAMD1B	0.92	0.00387116271788908
PTPLAD1	0.73	0.00320664732715211
C10orf32	0.67	0.00338179595246351
SORL1	1.47	0.00356192809480829
UGT3A2	1.11	0.0032298050786735
LCOR	0.66	0.00325021931660454
MAF	4.76	0.0052942596670243
DOK2	1.55	0.00430596470604537
B3GNT5	1.06	0.00439566930120904
ZNF711	-1.36	0.00455289413587957
METTL17	-0.49	0.00335044350181446
VAMP3	0.71	0.00338179595246351
ATP6V0D1	0.73	0.00345300044381014
MLH1	-0.47	0.00338179595246351
XIAP	0.5	0.00334659161520592
CHMP7	0.62	0.00338179595246351
CRK	0.5	0.00335535429378463
C6orf163	-1.52	0.00536896702928519
C10orf68	1.1	0.00499271135192731
IGFBP2	-0.73	0.00335535429378463
RBM4B	0.66	0.0036258118099137
MOB3B	-1.7	0.00444506644658617
GNPTAB	0.86	0.00349895130412646
NEDD4L	0.69	0.00372015829069814
SMARCD3	2.91	0.00564127887365015
IFT172	-0.59	0.00407926359247875
