Region	log2FC.delta_RBR_plus__VS__WT_plus	FDR.delta_RBR_plus__VS__WT_plus	log2FC.delta_Z1_plus__VS__WT_plus	FDR.delta_Z1_plus__VS__WT_plus	log2FC.delta_Z10_plus__VS__WT_plus	FDR.delta_Z10_plus__VS__WT_plus
chr1:2738571-2738906	-0.0675862714741939	0.916559187737521	-1.35481944565488	2.04266686645189e-5	-0.285716243909408	0.327029616439399
chr1:2838613-2838956	-0.0153596102307644	0.985478438628398	0.3857988289659671	0.1530370476327831	-0.732383782767736	0.014352762110967
chr1:3236564-3236860	-0.528421237577591	0.372958860550569	0.305735397014082	0.4046686473178329	-2.12575566148359	1.67700009105689e-4
chr1:3319937-3320274	0.282661999738572	0.704613571873162	1.48042426396205	4.17413057006696e-6	0.685383675044006	0.0461595199807855
chr1:3333748-3333987	-0.00120133455535422	0.999353915006496	0.763642487632525	0.0808853850248508	-1.50839065219687	0.0171024873247924
chr1:3341245-3341644	-0.166338584585523	0.582896531769962	-0.453981132968135	0.0112629801577656	-0.103452704433438	0.5530980191002559
chr1:3347817-3348194	0.5121040870177721	0.0722284539582204	0.356344749685866	0.129494094038404	0.6816226658330539	0.00112727768993219
chr1:3369647-3370052	-0.175765233911585	0.4271730284147771	-0.286807901173733	0.0504261620443173	-3.68332097958179	1.08416246787311e-16
chr1:3370788-3371140	-0.185935850282349	0.702901945092001	0.299019812448085	0.2281081998409669	-0.898155579144009	0.00107196494589595
chr1:3399119-3399463	-0.180756158372653	0.7668405916690358	0.5116725597992511	0.0574013835322572	-1.39049151052644	1.71942688202124e-4
chr1:3400448-3400776	-0.277542083514522	0.508835476959794	-0.0914762368675	0.754021236729521	-1.4324180188145	5.503404577412561e-6
chr1:3407720-3408149	-0.2318038169328289	0.216437313020614	0.118345790899	0.4144987136631911	-0.363734497083473	0.00500908282697641
chr1:3408320-3408550	0.182514395685612	0.824813758111616	-1.68138402117396	0.001839760481901611	1.22100715524181	3.82657204745123e-4
chr1:3434762-3435148	0.23947258880792	0.436923170594458	0.365583910189964	0.0574105148575821	-1.91910592361794	3.05680700494274e-9
chr1:3481776-3482172	0.00269543293820915	0.996307596338082	-0.31200225310612	0.08686917698892599	-0.329676450990274	0.0476517809125546
chr1:3504318-3504696	0.363586102993076	0.348713663399831	-0.709999767152156	0.0190599988395881	0.5211278545951861	0.0397298981650966
chr1:3531750-3532074	0.2001558197821821	0.640273073232958	0.034749351312596	0.910259690644232	-1.32069633917551	1.78762007762378e-5
chr1:3535546-3535988	-0.246550299255351	0.439752917101654	0.307045526443165	0.107068530708067	-0.0737516435209915	0.7206367070663321
chr1:3537710-3538076	-0.6006322691483841	0.0342617818899372	-0.0726818467747894	0.7809673359746391	-1.73239747441219	5.24066468876362e-8
chr1:3566458-3566716	0.54113664150389	0.216388714783329	-0.0759905099672926	0.857553433808524	0.7184498455420479	0.0119260475049355
chr1:3593683-3593949	0.301920351334251	0.601894714202411	0.7041843114467711	0.0205418509064027	0.784896098509376	0.007762177218242771
chr1:3612188-3612507	-0.162904221807564	0.764858060902755	0.3198351177256261	0.215824760956851	-1.9083794154541	1.21436030411696e-6
chr1:3640937-3641395	-0.0460168947686001	0.907103042398892	0.0706874052239808	0.7140399007802141	0.310522315584453	0.0331127123309095
chr1:3643860-3644391	0.0516749762380458	0.926806118541878	-0.5833854225915279	0.0157509764915636	0.923798019641296	4.931203901411129e-6
chr1:3692531-3692802	0.165788953647093	0.769803561428218	0.279880398400849	0.333621433648616	0.7657508282555279	0.00202250674878655
chr1:3717978-3718391	-0.38201209116957	0.388994990018809	-0.2497010314283251	0.413083123840332	-2.40088995085586	8.780513081636992e-7
chr1:3816190-3816453	0.173543263166743	0.786763289148882	0.0913207760087215	0.809291916901961	-1.02718295960557	0.00428947214257223
chr1:4645297-4645643	0.197026117203815	0.7566568116101501	0.560116031323048	0.0611542194606559	-0.776187478995086	0.0303051158577488
chr1:4712675-4712989	-0.0191243326437532	0.9835448236217192	0.205860753595751	0.56056528737855	-0.5006949504651671	0.130183253104165
chr1:5346351-5346688	0.8402841150666779	0.122841072624777	0.8848682278644879	0.0284180588117515	1.02417968303413	0.00692139411821071
chr1:5569805-5570305	-0.8204200706790319	1.18297777781677e-5	0.2380082753351269	0.151770518242871	-1.01599287985628	4.96600863480875e-7
chr1:5574455-5574986	-0.391722783667864	0.059840131155002	0.19846232040527	0.237099080246001	-2.49076432462466	2.464368829864789e-13
chr1:5681174-5681427	0.2273925479960011	0.843194387993219	0.884328083621226	0.0579364205359434	-0.152183595988361	0.8079413618631209
chr1:5697270-5697574	0.147647632190443	0.8362757826055419	0.167833815701865	0.6543880284087039	0.003988708915188361	0.991491023481868
chr1:5805838-5806243	-0.277265535372394	0.263110083253102	0.302586826165306	0.0672747782510211	-2.28265707018422	5.63979614187725e-12
chr1:5890859-5891148	-0.19154280488781	0.7181454601906779	-1.27099088986647	5.40165172388059e-5	-0.0468956476371628	0.8733735127110691
chr1:5953750-5954042	-0.4162817280009721	0.462603122763717	-0.22073660620265	0.561487792261443	-0.7995373604115049	0.0247192973040647
chr1:5976087-5976380	-0.0898829266735277	0.926231204906763	0.175870359455317	0.6807708420161949	0.49794069919477	0.1491244552098349
chr1:6009569-6009843	0.123000595506221	0.882073143489227	0.609511745160098	0.0715717115825676	0.00410900657524562	0.992155753243976
chr1:6035249-6035611	-0.335288224035462	0.117452505447253	-1.23733978807277	3.05430852948052e-11	-2.57336667605593	2.2142982319372e-13
chr1:6040471-6040752	0.0720493014828084	0.925113031696564	0.637039590519464	0.0198066040503689	-1.98393493199501	2.253186871136411e-5
chr1:6063160-6063376	0.363438343812818	0.635287281105112	0.591474680705557	0.156063300271842	0.5574464731787221	0.151178556536509
chr1:6094466-6094942	0.152367441415939	0.7306648273585841	0.453335608996045	0.0355824286858521	-1.77459324144829	1.9918624247599e-7
chr1:6095846-6096094	0.6047339946326179	0.25433984978196	-0.933473676069304	0.0543847093149725	0.478228598903946	0.185716627969811
chr1:6101331-6101869	-0.0992584274919874	0.7794166510216859	-0.128814251810783	0.505513553228686	0.3553643322503401	0.0190021001638692
chr1:6159851-6160108	0.5488038544703661	0.254518503052872	0.009634098411795921	0.983829257408116	1.13327882149861	2.83986292112015e-4
chr1:6168908-6169255	-0.0597626802302336	0.91266313391763	-0.0891633667837988	0.736976253655504	-0.649796246580853	0.00479309198404964
chr1:6231628-6231951	0.4642653789091261	0.203379998368055	0.367552421052184	0.181519756335935	0.553522236288101	0.025606186452049
chr1:6245782-6246174	0.216414561846144	0.7018709229656911	0.281939840380821	0.3668946896298979	0.286139611737872	0.31240826756803
chr1:6265262-6265592	0.1200927150517281	0.815507495038787	-1.54456608173785	6.76854983605795e-7	0.230078331074132	0.3209083817506789
chr1:6269814-6270033	0.412837869186325	0.47771716225267	0.275829404514827	0.4887858808418161	-0.3647490648676261	0.358702838680098
chr1:6298716-6299058	0.35189150769199	0.455536776220146	0.7930417075495291	0.00310309985862822	0.531279542614148	0.0545771276290092
chr1:6305108-6305507	0.170901667103373	0.464828226381784	-0.37863946541347687	0.0207350786461236	0.723242836603177	8.98341275467697e-6
chr1:6306718-6307160	-0.0740097811283862	0.8118476476975369	0.268196554994163	0.0652056707264464	0.00425816756653295	0.980857991785502
chr1:6403464-6403877	-0.0981687398246742	0.7862084826449419	-0.286243124323093	0.121022194678451	-0.416453443209653	0.0161160250750524
chr1:6407979-6408366	0.203129151694086	0.524550712565823	-0.308309150155271	0.144737875875608	0.237096294367832	0.184478438194485
chr1:6423180-6423425	-0.438304909338724	0.416064523194315	-0.579193545701694	0.105295729115863	-1.24094040397988	0.00195640924466618
chr1:6438174-6438459	-0.0911883123489485	0.927750712509397	0.346283950747499	0.392386729372932	0.295669514172413	0.425967110292547
chr1:6464771-6465044	-0.144102858399983	0.850323444918662	-2.05385293762512	3.13165945348485e-5	0.495560168261401	0.094014390071625
chr1:6474388-6474795	0.6299592480898921	0.0475422167792648	-1.48858001307693	2.16199777208108e-5	-0.0032324957108103	0.991740172906056
chr1:6483436-6483837	-0.1493082534125031	0.7285531252510791	0.2226501987260111	0.318354010572469	0.05500745820368701	0.8241522617155291
chr1:6497122-6497415	-0.130881178550269	0.8566284367788909	-0.0814380128849379	0.835768043063935	0.488873606708032	0.0800434923130845
chr1:6498072-6498499	-0.207158551759651	0.423611905097399	-0.204686901305463	0.250709961258216	-1.95993569413613	6.909357693377951e-12
chr1:6532541-6532760	0.5064661649217779	0.4062801813217861	0.75342963405184	0.0443312966005523	0.928654230269435	0.00805300235717267
chr1:6535434-6536198	0.0718080496621449	0.8013143889073341	0.297889137816153	0.0267364056048442	0.00995025546171723	0.949685499443556
chr1:6546488-6546897	-0.137435558775105	0.662758924697353	0.254978764978508	0.130358909056785	0.292169817286573	0.0531034397107333
chr1:6549898-6550376	0.0618248228465577	0.8455016882721791	-0.0301541571317236	0.8728966625758101	0.508132090159238	1.42702819997688e-4
chr1:6583678-6583931	0.4571956188702371	0.5287228044152371	0.503650195934941	0.267991362559775	0.820697860566566	0.0301837882824622
chr1:6614295-6614856	-0.0886554085024911	0.7349423948350831	0.0338747046627006	0.84006712399229	0.178258949382178	0.1476620215924941
chr1:6640913-6641266	0.169889321125434	0.7679530661462791	0.46674190051182	0.0930651738730708	-2.04330703695664	2.23101721113629e-5
chr1:6684993-6685312	0.6173446362412621	0.0632744340635064	0.83244053224568	7.49729700034511e-4	0.226548274641901	0.407901261315775
chr1:6694680-6695027	0.196493422156464	0.656422859525618	-0.0056337895371991	0.986093102589113	0.500687634726396	0.0195327572074743
chr1:6706614-6706930	0.444341715823185	0.486176543639111	0.8879363990183979	0.012828400675714	-0.6167296083974061	0.175789269414221
chr1:6761761-6762197	0.0841150545437502	0.697634802636545	0.263180246218911	0.0244983074482189	0.595842247459995	9.78181529733625e-7
chr1:6780031-6780421	0.009038127807082873	0.9900981461327008	0.67149108204393	0.0022640934491592	0.282496117735132	0.222306527701488
chr1:6787529-6787897	0.186893998384028	0.6940191415292719	0.274195228548439	0.291894007697751	0.3138487275724861	0.17890808698445
chr1:6949971-6950301	-0.4169196863776981	0.481237557881433	0.29181036121564	0.409890996629529	-0.0790571553300609	0.83758828165198
chr1:7130478-7130866	0.0110164377041001	0.984815020309317	-0.0710079014997451	0.7704611519684441	0.7220977800760899	4.60993781151633e-5
chr1:7267979-7268325	-0.274999054250002	0.393128568319742	-1.55849680499956	5.92562111633052e-10	-2.35983369603553	2.43299772189899e-10
chr1:7278337-7278675	-0.00583638986322507	0.995268329079126	-0.5117066840801721	0.0938552724585307	-0.3517603348683789	0.214411538166734
chr1:7514168-7514472	1.04181127509464	0.0107802441126927	-0.0142403022709488	0.978533819867774	0.644724784886437	0.0639964066563047
chr1:7599843-7600138	-0.0172574870373719	0.987512239145692	0.501556006523815	0.134140631314765	0.479694582765084	0.127054641921989
chr1:7621509-7621835	-0.00551900280293219	0.996114787885218	0.290879595760364	0.366980709898008	-0.3445640793512589	0.288003741447757
chr1:7707315-7707709	-0.418121124948008	0.0446638168128941	-0.0151568956585038	0.943926399272576	0.489017729105358	0.0011321994903185
chr1:7727558-7727996	-0.197811881569808	0.320020612795311	-0.205841097777048	0.145411117254034	-1.15487945552227	1.47378998584564e-10
chr1:7729437-7729924	0.004340289437849271	0.9937010106282768	0.216955085075087	0.226114687367343	-0.253309607565745	0.138026571141606
chr1:7812880-7813307	0.0903395428589669	0.9053595506637968	0.4141550323638311	0.181062209962054	0.3086701866571661	0.293681248475541
chr1:7868327-7868633	0.468496669670165	0.5391556865124361	0.4043167649192461	0.414814392821771	-0.252283322418258	0.649748366768621
chr1:7962783-7963175	0.0904680200454534	0.8472399206327191	0.150309490539467	0.523550416444221	0.572727698441665	0.00244832866430863
chr1:8002363-8002709	0.374438603024365	0.228641409748456	0.521089769962346	0.0143932741277928	0.762435959594234	1.74055275988684e-4
chr1:8021369-8021676	0.17319413504359	0.682171656327523	-1.23146672111709	6.13786795986378e-6	-0.610549424114752	0.0102511006979458
chr1:8035313-8035693	-0.0313772209487288	0.960519165759906	-0.155671811378625	0.559369148709805	-0.811847541575627	0.00129181970559865
chr1:8042330-8042714	-0.240807858803958	0.513731648335822	0.0380907444495071	0.887265315621562	-0.453085857624221	0.0331136353708024
chr1:8075069-8075414	-0.0653586106135643	0.9492452426276	0.398589566610015	0.284811395592948	0.2196861216257361	0.5586597669448629
chr1:8374413-8374728	0.088331860054359	0.89722182679482	-1.05304114054228	0.00151302655293544	-0.0311710111449271	0.9246637849113508
chr1:8409017-8409420	-0.115073714242023	0.7306648273585841	-0.0554899378289211	0.791779662632019	0.0284906252284516	0.877555229140397
chr1:8411758-8412144	-0.116686063334921	0.8263540064304821	0.656758024492185	0.00258629900021149	-1.28243258713574	2.57404618918823e-5
chr1:8434893-8435186	-0.281417881543515	0.6764551456785589	0.639775334764619	0.0408115453564113	-0.8836091510106179	0.0215304515477105
chr1:8469174-8469545	0.253459390857299	0.709852947765946	-0.189063359311851	0.669262451805346	0.454464052997359	0.176412503956362
chr1:8621134-8621467	-0.129336240919617	0.8363195935115341	-0.609011928852317	0.0473435023814393	-2.05721641923941	4.019427309981221e-6
chr1:8731373-8731720	-0.26368717987627	0.642001690384907	-0.0342580947904182	0.929616698297919	-0.659730906175547	0.0362086680813465
chr1:8799503-8799703	0.292616494775625	0.728208104695879	-0.590419471859984	0.26376392195678	0.4089033602066221	0.331028520999033
chr1:8908952-8909339	-0.170518479523198	0.554159393743658	-0.2468541331727301	0.16357277915119	0.4604041639686671	0.00187509703345524
chr1:8919480-8919797	0.108970962940568	0.869906509977984	0.124182617094475	0.7231282988160491	0.223841360315139	0.4374771712073421
chr1:8922446-8922953	0.326079525167045	0.326473142226562	0.396357889868962	0.0745233255602124	0.59407186060894	0.00344588426767971
chr1:8978174-8978388	-0.0771720513771663	0.93861642829756	-0.66809576569851	0.131560902913596	0.318733523391036	0.384816251765053
chr1:9022960-9023303	-0.417766209423317	0.4326289496795011	0.264947360060915	0.4208136195869779	-0.611516076883484	0.0626799454772826
chr1:9048106-9048529	-0.141223170305301	0.7002669265060949	0.179095900576051	0.375559613486275	-0.75795734700983	3.82113082307884e-4
chr1:9065157-9065548	-0.224573598610544	0.41028621398602	-0.005979409972385471	0.9792329073510307	-2.64783211410632	1.22584257790908e-12
chr1:9070087-9070426	-0.386413985273601	0.305537383036417	-0.6070268362405661	0.021296521035836	-0.927823364302686	9.05581448284841e-4
chr1:9161630-9161979	-0.311516893275105	0.451329439094037	-1.28404314359077	8.17658402528455e-6	0.220348040147662	0.341358062480183
chr1:9170796-9171183	-0.156035071680122	0.6005703446165811	-0.632012177975739	3.41579366487129e-4	0.419170241720529	0.00561235009159955
chr1:9202295-9202654	-0.205727530348299	0.64711299074609	0.2014671842175161	0.429559835349479	-0.566146187839538	0.0269936517992326
chr1:9241272-9241717	0.0505358002318137	0.907518378857493	-0.382984981436517	0.0471980774830469	0.6803487062285509	4.64331364295381e-5
chr1:9256529-9256898	-0.2283038173750281	0.5546632429986329	-0.0352498818134429	0.899622628594462	-2.03212937684119	1.46343644511136e-8
chr1:9294451-9294792	0.27259269465709	0.393854653489273	0.3089499772277801	0.142649764140586	0.856347398101846	1.51528736423038e-5
chr1:9310120-9310427	0.277247508225843	0.518934580719707	0.194682544408854	0.49692892052968	0.0141063091371368	0.963782330221889
chr1:9327126-9327564	-0.0674291948723966	0.818556440678761	-0.1528005938237819	0.317383445479885	-0.763223114405621	1.71400185230337e-6
chr1:9349077-9349421	-0.137999394069789	0.7622370597424541	-0.446105349097893	0.0625813103569108	0.295597782220995	0.156015552907965
chr1:9515855-9516223	-0.219656003184086	0.611801553404807	-0.7921018142787479	0.00196274517184749	0.298676700477958	0.165329987612263
chr1:9551125-9551501	-0.2103295319901231	0.5174390833813	0.0379904512710171	0.874349989180097	0.3767912052077411	0.0264044831100439
chr1:9555106-9555684	-0.184038028581945	0.380904534848479	0.274335473778263	0.0392903131081001	0.405162108101163	9.85593504929819e-4
chr1:9599614-9599841	0.548134804005771	0.209938500610006	0.886142677486494	0.00273717595283802	-0.325990649741919	0.374171618552108
chr1:9633793-9634135	-0.0270619027456574	0.983190170145044	0.6830575319383291	0.08922424402811699	-0.375451954752994	0.425981333603997
chr1:9648468-9649002	0.0242334708628869	0.946004246517634	0.0402073182716863	0.817402433862203	0.401970055440471	0.00178196554313851
chr1:9675663-9675987	0.333741189910393	0.403339599814973	-1.98506543170872	1.71622853574128e-7	-0.299734248965194	0.282032589245677
chr1:9686991-9687483	-0.119597048317054	0.423611905097399	-0.547955504496638	5.629091893042e-8	0.302951244581291	5.36839082733878e-4
chr1:9781811-9782190	0.0412638676845733	0.9412533915281692	-0.926844488879015	1.0905600368679e-4	0.452606475308024	0.0164395442994546
chr1:9785061-9785447	0.0440719838955032	0.9164613487706128	-0.0988930863041284	0.617847635418724	0.30688567182636	0.0471894054516641
chr1:9844622-9844931	-0.606586811562768	0.152948993814069	-0.5750998471180401	0.0738100749601423	-2.46157367691068	4.91954449104114e-6
chr1:9927503-9927940	-0.223351186421455	0.294349560942868	0.367830133325564	0.006786622979179579	0.261435771012257	0.0426970284000128
chr1:9934902-9935331	0.237420335920426	0.36837621514781	0.0947184526597596	0.6461820489737149	0.252740932546049	0.125771816079023
chr1:10010357-10010740	0.0436429138083919	0.940206448656806	0.39088106177244	0.0665871129987517	0.261356960566761	0.201282645746741
chr1:10092523-10092920	0.128554795821172	0.636496498101212	0.316080361246577	0.0340136217342464	0.70636358454747	1.23148874095125e-6
chr1:10213013-10213346	-0.141059391154935	0.849362893288455	-0.428299317642629	0.242613849196693	0.01978703221744	0.960306837256339
chr1:10269983-10270628	0.0294830805038605	0.931569840169907	0.1986651237004169	0.151041225427672	0.500839865439056	5.55348983704638e-5
chr1:10398123-10398471	0.064150496493791	0.9136827001890392	-1.38549405720202	1.78514881676469e-6	-0.968013245713759	6.15989441720496e-4
chr1:10437432-10437809	-0.238826589845316	0.629438654545882	-0.180823359411887	0.550567393956149	-1.39290062223397	3.28325126579429e-5
chr1:10488116-10488464	0.133384778371607	0.7551447980960091	-0.314804141294712	0.184508811961302	0.6369748934511321	8.64672209234574e-4
chr1:10490202-10490618	-0.0486261476353848	0.868878104334898	0.210700372894154	0.114951896294795	0.394856768885505	0.00106618363598483
chr1:10554707-10555413	-0.0380992868759736	0.928348594522142	0.176449892945341	0.315603476096625	0.106435597478547	0.52083316829614
chr1:10567483-10567845	-0.0888267070493138	0.8712002716838759	-0.557594653998876	0.0300084584081798	-1.84953429253643	3.92811057009253e-7
chr1:10574492-10574852	0.304244879099274	0.5284167586104029	-2.28165938981595	4.97613621066235e-7	0.303437092714118	0.266365835218484
chr1:10622061-10622358	-0.0909085230758022	0.938520090622157	0.192402089394949	0.703382958756382	-0.202752166475963	0.679312619731146
chr1:10752429-10752779	0.197922087765564	0.6788211795380009	0.33675473427062	0.192848558999565	-0.325385225144842	0.222804825783162
chr1:10813338-10813615	0.09900996655021	0.8997433275296941	0.0300043929041545	0.943672512424226	-1.35612591195636	0.00148622435200505
chr1:10927165-10927589	-0.110659818803487	0.737437471906538	0.0883764485769298	0.647844867235413	0.4621047149982629	0.00297353276897765
chr1:10969972-10970367	-0.00900493970255521	0.985561327942412	-0.104839273325056	0.585135776662161	0.32130709125747	0.0305855227619638
chr1:11001976-11002418	-0.166123465781603	0.5012330790442471	-0.136913290553221	0.406279117912414	-1.5364397917827	1.4410818618992e-11
chr1:11021029-11021458	-0.048529443744842	0.901342741132644	0.104861571774425	0.5675741409862081	-1.06820726115962	1.92728648856397e-7
chr1:11097649-11098041	-0.190144411658175	0.5041924266669461	-0.36989469720688	0.037413856169568	0.252938716365291	0.110774020639979
chr1:11120089-11120391	0.4781457787767021	0.142506476031916	0.587444332741718	0.0126516604052454	-3.05703841380403	2.3060817132035e-7
chr1:11301788-11302061	0.1499407200702559	0.858292221727923	0.006971590185235989	0.989038958632056	0.155827443090779	0.7178960435490059
chr1:11322839-11323063	0.6292634265585849	0.25142139062375	1.01506039491607	0.00407831518872061	-0.0982455644896672	0.831397488757185
chr1:11380187-11380604	0.0845043453418428	0.896240519128305	-0.163684871898002	0.603535824350423	0.9493618073804948	5.25648312437795e-5
chr1:11397582-11397917	-0.0434571960608781	0.94984946734947	0.680982048934005	0.00236308547898313	0.132762318058822	0.6046030296951059
chr1:11424316-11424593	-0.161795750742663	0.8026673482894849	-0.547183899205925	0.10158817428443	-0.498014218628046	0.108615623300414
